,trial_id,global_end_of_trial_date,first_version_date,this_version_date,trial_countries,results_type,recruitment_countries,trial_start_date,error
0,2006-005520-16,2012-05-08,2015-05-22,2016-07-08,"['ES', 'AT', 'FR', 'CZ', 'GR', 'PT', 'GB', 'SE', 'DE', 'IT', 'PL', 'SK', 'LT', 'HU']",Document,,,
1,2005-000077-22,2010-04-27,2015-07-31,2016-07-06,"['BE', 'IT']",Tabular,"{'Belgium': 11, 'France': 43, 'Italy': 8}",2003-07-16,
2,2004-003035-31,2006-08-16,2016-09-02,2016-09-02,"['DE', 'IT', 'ES']",Document,,,
3,2004-000866-11,2005-06-17,2016-04-23,2016-04-23,['IT'],Document,,,
4,2004-002871-18,2009-11-06,2016-05-14,2016-05-14,['ES'],Tabular,{'Spain': 30},2006-05-05,
5,2004-004160-67,2006-09-21,2018-09-28,2018-09-28,"['GB', 'DK']",Document,,,
6,2005-005120-13,2006-06-06,2016-07-27,2016-07-27,['GB'],Document,,,
7,2005-005146-39,2008-11-03,2016-08-31,2016-08-31,['IT'],Document,,,
8,2007-000381-20,2012-02-16,2016-06-24,2016-06-24,"['FI', 'FR', 'GB', 'CZ', 'BE', 'EE', 'AT', 'PT', 'NL', 'DE', 'DK', 'IT', 'GR', 'LV', 'LT', 'BG']",Document,,,
9,2004-001258-94,2007-05-11,2016-12-14,2016-12-14,"['DE', 'GB', 'ES', 'IT']",Document,,,
10,2006-004666-14,2009-06-02,2016-09-14,2016-09-14,"['BE', 'DE']",Document,,,
11,2006-001210-33,2008-07-25,2019-04-07,2019-04-07,['GB'],Document,,,
12,2006-004553-17,2013-09-24,2015-08-07,2016-07-14,"['GB', 'ES', 'AT', 'IT', 'DE']",Tabular,"{'Spain': 3, 'United States': 52, 'Austria': 5, 'Italy': 28}",2007-04-19,
13,2006-005604-14,2016-08-23,2019-07-25,2019-07-25,['IT'],Tabular,{'Italy': 233},2007-07-04,
14,2005-005641-19,2008-06-12,2016-06-24,2016-06-24,['DE'],Document,,,
15,2004-003799-13,2007-06-26,2016-06-25,2016-06-25,"['SE', 'LT', 'IE', 'DK', 'GB', 'ES']",Document,,,
16,2004-003809-25,2006-02-28,2016-05-01,2016-05-01,['HU'],Document,,,
17,2007-001717-42,2009-11-19,2016-08-31,2016-08-31,"['FR', 'ES']",Document,,,
18,2006-002037-20,2008-11-19,2016-12-28,2016-12-28,"['HU', 'FI', 'ES', 'BE', 'GB', 'LV', 'CZ', 'IT', 'LT', 'DE', 'EE']",Document,,,
19,2005-002241-39,2010-11-23,2015-04-26,2016-07-01,"['HU', 'ES', 'SI', 'GB', 'AT', 'LT', 'SK', 'PT', 'DE', 'DK', 'CZ', 'IT', 'GR']",Document,,,
20,2006-002311-27,2007-08-17,2018-02-17,2018-02-17,['CZ'],Document,,,
21,2004-004917-41,2007-03-16,2017-02-26,2017-02-26,"['DE', 'GB', 'HU', 'CZ', 'ES', 'BE', 'PT', 'AT', 'IT']",Mixed,"{'South Africa': 6, 'Spain': 11, 'United Kingdom': 6, 'United States': 74, 'Argentina': 52, 'Australia': 5, 'Belgium': 8, 'Brazil': 14, 'Canada': 1, 'China': 94, 'Costa Rica': 12, 'Czech Republic': 5, 'France': 9, 'Germany': 9, 'Greece': 2, 'Hungary': 1, 'Italy': 7, 'Malaysia': 23, 'Mexico': 28, 'Portugal': 3}",2005-07-13,
22,2004-004924-11,2008-01-07,2016-03-13,2016-03-13,['DE'],Document,,,
23,2004-004719-43,2008-07-18,2017-01-11,2017-01-11,['GB'],Document,,,
24,2005-001660-31,2012-02-07,2019-06-28,2019-06-28,['GB'],Document,,,
25,2006-001472-20,2007-07-04,2016-12-18,2016-12-18,"['DK', 'FI', 'GB']",Document,,,
26,2006-001490-15,2009-04-06,2016-06-05,2016-06-05,"['DE', 'GR']",Document,,,
27,2005-006161-13,2010-01-28,2016-01-31,2016-01-31,['DE'],Document,,,
28,2008-000581-23,2011-02-03,2017-03-03,2017-03-03,['DK'],Document,,,
