,trial_id,global_end_of_trial_date,first_version_date,this_version_date,trial_countries,results_type,recruitment_countries,trial_start_date,error
29,2007-005883-28,2010-11-18,2016-10-29,2016-10-29,"['SE', 'FI', 'DE', 'ES', 'DK', 'HU', 'NL', 'GR', 'IT', 'AT']",Document,,,
30,2006-000073-29,2008-09-01,2016-12-28,2016-12-28,['DE'],Document,,,
31,2006-005047-28,2009-02-12,2016-06-11,2018-08-30,"['HU', 'LV', 'SK', 'AT', 'CZ', 'GB', 'DE']",Document,,,
32,2006-005048-97,2007-11-20,2016-12-23,2016-12-23,"['DE', 'GB', 'HU', 'CZ', 'SE']",Document,,,
33,2006-005078-28,2009-02-12,2016-07-02,2016-07-02,"['GR', 'EE', 'AT', 'HU', 'BG', 'DE', 'GB']",Document,,,
34,2005-004881-17,2008-12-22,2014-05-03,2016-07-06,"['AT', 'NL', 'ES', 'FI', 'DK', 'DE']",Document,,,
35,2005-004889-17,2007-07-13,2016-11-23,2016-11-23,['DE'],Document,,,
36,2005-004899-21,2006-09-19,2019-12-18,2019-12-18,['BE'],Document,,,
37,2007-003248-31,2008-04-30,2015-06-06,2018-11-20,['FI'],Tabular,{'Finland': 82},2008-01-23,
38,2007-003256-11,2009-07-20,2015-05-21,2016-04-27,"['IT', 'SK']",Tabular,"{'Slovakia': 268, 'Italy': 269, 'Romania': 268}",2007-11-12,
39,2007-002195-34,2010-07-02,2016-07-21,2016-07-21,['FR'],Document,,,
40,2007-002218-21,2010-01-16,2016-07-29,2016-07-29,"['DE', 'IS', 'IT', 'SI', 'GR']",Document,,,
41,2007-002221-76,2007-12-31,2014-12-04,2016-04-27,['DE'],Tabular,{'Germany': 301},2007-08-31,
42,2006-003886-15,2013-07-20,2016-11-19,2016-11-19,['IT'],Document,,,
43,2007-005097-31,2012-12-21,2016-12-07,2016-12-07,"['SE', 'DK', 'ES']",Document,,,
44,2007-006117-16,2012-02-15,2019-04-10,2019-04-10,['GB'],Document,,,
45,2007-001139-71,2008-10-07,2016-06-16,2016-06-16,"['FR', 'IT', 'DE']",Document,,,
46,2007-002920-14,2009-05-28,2016-10-29,2016-10-29,"['GB', 'FR', 'SE', 'IT']",Document,,,
47,2007-002611-27,2010-09-30,2016-12-31,2016-12-31,"['DE', 'FR', 'GB']",Tabular,"{'Germany': 3, 'Poland': 2}",2009-03-31,
48,2005-004937-16,2009-01-28,2017-05-18,2017-05-18,"['DE', 'HU', 'CZ', 'GB', 'SK', 'PT', 'IT']",Document,,,
49,2005-004944-30,2016-10-31,2017-11-08,2019-05-18,"['GB', 'DE']",Tabular,"{'United Kingdom': 8, 'France': 6, 'Germany': 8}",2006-04-06,
50,2007-003360-22,2009-12-29,2016-10-12,2016-10-12,['ES'],Document,,,
51,2005-000253-29,2011-03-31,2016-02-27,2016-02-27,"['DE', 'AT', 'GB']",Document,,,
52,2007-004733-41,2008-11-06,2016-08-05,2016-08-05,"['NL', 'FI', 'ES']",Document,,,
53,2007-004761-17,2010-08-26,2017-01-17,2017-01-17,"['LT', 'HU', 'AT', 'PL', 'BG', 'CZ']",Document,,,
54,2006-007041-39,2010-05-15,2016-10-13,2016-10-13,['IT'],Document,,,
55,2005-000175-17,2006-06-01,2019-06-01,2019-06-01,['ES'],Document,,,
56,2006-002875-42,2010-06-10,2015-03-22,2016-05-16,"['DE', 'BE', 'NL', 'IE', 'ES', 'HU', 'CZ', 'FR', 'IT', 'PT', 'GR', 'BG', 'GB']",Document,,,
57,2004-001150-88,2009-07-22,2016-03-17,2016-03-17,"['IE', 'ES']",Document,,,
58,2004-001156-37,2010-08-19,2016-10-07,2016-10-07,"['CZ', 'ES']",Document,,,
59,2004-001173-26,2009-01-06,2016-08-27,2016-08-27,"['DK', 'FI']",Document,,,
60,2004-004984-32,2006-09-27,2014-11-13,2016-02-16,"['SK', 'SE', 'DE', 'ES', 'IT']",Document,,,
61,2008-002626-11,2016-06-01,2017-07-12,2019-03-07,['SE'],Tabular,{'Sweden': 23},2009-09-16,
62,2007-006276-11,2010-10-25,2016-08-06,2016-08-06,"['GB', 'IE', 'PL', 'IT']",Document,,,
63,2007-006279-35,2011-01-12,2016-09-14,2016-09-14,['DE'],Document,,,
64,2008-001413-14,2011-07-25,2015-02-26,2016-05-16,"['DE', 'NL', 'IT', 'GB']",Document,,,
65,2008-001416-20,2010-01-02,2019-06-14,2019-07-31,['IT'],Document,,,
66,2005-005013-37,2011-05-18,2017-01-04,2017-01-04,['GB'],Document,,,
67,2008-000906-35,2017-04-07,2018-04-12,2018-07-20,"['CZ', 'HU', 'NL', 'BE', 'ES', 'FR', 'LV', 'GR', 'PT', 'IT', 'PL']",Tabular,"{'Spain': 29, 'Taiwan': 18, 'Thailand': 6, 'Turkey': 3, 'Ukraine': 7, 'United States': 90, 'Australia': 9, 'Belgium': 11, 'Brazil': 47, 'Canada': 17, 'China': 199, 'Colombia': 9, 'Czech Republic': 3, 'France': 64, 'Greece': 13, 'Hungary': 30, 'Israel': 18, 'Japan': 63, 'Korea, Republic of': 19, 'Mexico': 25, 'Netherlands': 9, 'Philippines': 10, 'Poland': 4, 'Portugal': 1, 'Russian Federation': 8}",2013-04-13,
68,2008-000943-33,2008-07-23,2014-12-03,2016-02-05,['GB'],Tabular,{'United Kingdom': 130},2008-06-26,
69,2007-002544-25,2009-09-14,2016-12-08,2016-12-08,"['HU', 'CZ', 'LV']",Document,,,
70,2006-005263-26,2007-08-31,2016-06-04,2016-06-04,['ES'],Document,,,
71,2006-005270-47,2008-03-14,2015-06-03,2016-07-12,"['FI', 'BE', 'IE', 'FR', 'AT', 'SE', 'ES', 'DE', 'HU', 'LV', 'SI', 'NL', 'GR', 'IT']",Document,,,
72,2007-003062-18,2011-05-05,2019-03-24,2019-03-24,['GB'],Document,,,
73,2007-001013-41,2009-01-08,2016-04-03,2016-04-03,"['DE', 'NL']",Document,,,
74,2004-002216-28,2005-12-15,2016-10-12,2016-10-12,"['GB', 'DE', 'BE']",Document,,,
75,2005-003747-31,2007-05-02,2016-09-03,2016-09-03,['LV'],Document,,,
76,2007-001269-14,2009-02-03,2016-12-24,2016-12-24,"['BE', 'DE', 'IT']",Document,,,
77,2007-001271-11,2008-05-19,2016-06-02,2016-06-02,"['ES', 'GB', 'LV', 'CZ', 'SK']",Document,,,
78,2007-005772-13,2010-01-15,2016-04-29,2016-04-29,['HU'],Document,,,
79,2005-004543-57,2008-04-23,2016-07-30,2016-07-30,"['CZ', 'DE', 'HU', 'IT', 'SK', 'PT']",Document,,,
80,2004-002157-30,2006-09-13,2017-01-04,2017-01-04,"['FI', 'DK', 'SK']",Document,,,
81,2007-005463-10,2008-03-31,2016-12-16,2016-12-16,['FR'],Document,,,
82,2006-002361-39,2007-10-16,2014-12-07,2016-07-12,['DE'],Document,,,
83,2006-002369-37,2007-06-06,2014-12-04,2016-02-05,"['LT', 'ES', 'GB']",Tabular,"{'Spain': 211, 'United Kingdom': 896, 'France': 1048, 'Lithuania': 100}",2006-09-11,
84,2004-004225-10,2006-03-15,2018-11-24,2018-11-24,"['FI', 'LT', 'LV', 'EE']",Document,,,
85,2004-004232-31,2005-03-29,2016-06-24,2016-06-24,['GB'],Document,,,
86,2007-007940-92,2009-05-11,2019-11-09,2019-11-09,"['GB', 'BE', 'HU', 'GR', 'BG']",Document,,,
87,2007-007941-10,2008-12-10,2016-06-05,2016-06-05,"['DE', 'FR', 'HU', 'BE']",Document,,,
88,2008-000795-24,2008-08-07,2018-07-26,2018-07-26,['SE'],Document,,,
89,2008-000822-38,2013-03-08,2019-01-26,2019-01-26,['IT'],Document,,,
90,2008-000827-25,2010-11-16,2014-11-14,2016-02-12,"['CZ', 'ES', 'IT', 'DE']",Document,,,
91,2007-004056-36,2010-03-04,2018-11-22,2018-11-22,['GB'],Document,,,
92,2007-003936-50,2011-05-30,2016-06-29,2016-06-29,"['ES', 'FR', 'NL', 'BE', 'SE', 'AT', 'CZ', 'LT', 'GB']",Document,,,
93,2007-003556-10,2008-12-11,2016-07-29,2016-07-29,"['DE', 'HU', 'LT', 'CZ', 'EE', 'PL', 'ES', 'FI']",Tabular,"{'Australia': 1, 'Hungary': 3}",2008-06-04,
94,2007-003572-19,2009-08-27,2016-07-27,2016-07-27,"['EE', 'LT', 'CZ', 'GB', 'ES', 'FI', 'LV', 'AT']",Document,,,
95,2006-004194-10,2010-01-25,2016-12-10,2016-12-10,['BE'],Document,,,
96,2006-004215-21,2007-10-05,2016-05-22,2016-05-22,"['HU', 'DE']",Document,,,
97,2007-005237-10,2010-03-10,2016-08-06,2016-08-06,"['GB', 'SE', 'DE', 'FR', 'NL', 'HU']",Document,,,
98,2006-006746-33,2011-09-29,2015-06-04,2016-07-08,['DE'],Document,,,
99,2006-006769-17,2008-02-07,2018-03-09,2018-03-09,['GB'],Tabular,{'United Kingdom': 23},2007-05-02,
100,2005-002060-28,2011-06-07,2016-04-15,2020-08-23,"['SE', 'DK']",Document,,,
101,2007-006717-17,2015-08-27,2016-09-09,2016-09-09,['GB'],Tabular,"{'United States': 56, 'United Kingdom': 4}",2008-08-01,
102,2007-006739-30,2014-08-11,2018-08-11,2018-08-11,['FR'],Mixed,{'France': 36},2009-02-17,
103,2005-003518-14,2007-07-20,2016-08-20,2016-08-20,"['GB', 'HU', 'DE']",Document,,,
104,2007-001452-39,2010-05-06,2016-09-15,2016-09-15,"['DE', 'FI', 'SE', 'IS', 'CZ', 'LV', 'IE', 'GB', 'BE', 'FR', 'ES', 'DK', 'LT', 'SK', 'PT', 'NL', 'IT', 'HU', 'AT', 'BG']",Document,,,
105,2007-003477-94,2008-07-08,2015-05-01,2018-11-20,['DE'],Tabular,{'Germany': 415},2008-02-22,
106,2007-002894-30,2008-04-30,2019-06-15,2019-06-15,['AT'],Document,,,
107,2007-002900-16,2008-05-14,2017-03-03,2017-03-03,['DE'],Document,,,
108,2006-002042-11,2007-02-02,2019-09-21,2019-09-21,['GB'],Document,,,
109,2006-002060-26,2007-03-29,2016-06-02,2016-06-02,['DE'],Document,,,
110,2008-000066-22,2013-06-12,2019-06-22,2019-06-22,['GB'],Document,,,
111,2005-002169-35,2008-01-15,2016-06-02,2016-06-02,"['FI', 'GB', 'ES', 'CZ', 'DE', 'HU', 'SE', 'IT']",Document,,,
112,2006-005797-44,2008-12-30,2016-12-10,2016-12-10,"['LT', 'FR', 'HU', 'LV']",Document,,,
113,2007-004375-19,2008-02-19,2016-11-04,2018-03-31,['GB'],Document,,,
114,2006-005914-10,2007-08-14,2016-10-15,2016-10-15,"['SE', 'ES', 'DK', 'DE']",Document,,,
115,2006-005917-36,2008-09-22,2015-08-06,2016-07-13,"['ES', 'DE']",Tabular,"{'United States': 112, 'Spain': 1, 'Germany': 42}",2007-07-05,
116,2007-007673-23,2012-07-10,2019-05-10,2019-05-10,['GB'],Document,,,
117,2007-007725-46,2010-01-21,2016-06-11,2016-06-11,['BG'],Document,,,
118,2005-003949-14,2007-08-27,2015-05-22,2016-07-06,['DE'],Document,,,
119,2008-005748-18,2010-01-26,2019-11-27,2019-11-27,['GB'],Document,,,
120,2008-004489-23,2009-07-08,2016-02-25,2016-02-25,['NL'],Document,,,
121,2008-004497-40,2008-12-31,2019-05-16,2019-05-16,['GB'],Document,,,
122,2007-000854-30,2010-12-02,2017-01-04,2017-01-04,"['GB', 'ES', 'FR', 'FI', 'DK', 'PT', 'SE', 'DE', 'BE', 'IT']",Document,,,
123,2007-007540-10,2011-01-01,2016-10-01,2016-10-01,"['FI', 'HU', 'ES', 'AT', 'SK', 'DE', 'BG', 'NL', 'GB']",Document,,,
124,2006-000937-37,2007-07-11,2016-10-13,2016-10-13,"['DE', 'NL', 'ES', 'GB']",Document,,,
125,2007-003633-16,2010-01-20,2016-06-03,2016-06-03,['DE'],Document,,,
126,2007-003652-11,2010-03-11,2016-05-27,2016-05-27,['GB'],Document,,,
127,2007-004683-45,2009-05-11,2016-06-30,2016-06-30,['IT'],Document,,,
128,2007-004695-39,2010-06-08,2016-06-09,2016-06-09,['GB'],Tabular,{'United Kingdom': 19},2009-01-07,
129,2008-003362-26,2008-10-09,2016-06-22,2016-06-22,['DE'],Document,,,
130,2008-003364-19,2010-05-06,2016-12-07,2016-12-07,['FR'],Document,,,
131,2007-001951-20,2011-04-18,2015-07-03,2016-07-12,['GB'],Document,,,
132,2007-001959-19,2009-06-05,2016-08-06,2016-08-06,"['SE', 'DK', 'DE']",Document,,,
133,2007-004144-74,2017-01-12,2017-07-06,2017-07-06,['GB'],Tabular,{'United Kingdom': 97},2008-04-11,
134,2007-004146-32,2009-12-31,2016-06-24,2016-06-24,"['DE', 'ES', 'GB', 'HU', 'CZ', 'BG', 'PL', 'IT']",Document,,,
135,2007-004151-11,2011-09-13,2016-06-22,2016-06-22,"['ES', 'IT', 'FR', 'DE', 'GR']",Document,,,
136,2007-001601-16,2009-03-18,2017-01-05,2017-01-05,"['NL', 'DE', 'FR']",Document,,,
137,2007-001621-94,2012-04-30,2019-02-15,2019-02-15,['GB'],Document,,,
138,2008-001466-93,2010-05-01,2020-01-02,2020-01-02,['GB'],Document,,,
139,2008-001467-10,2010-05-01,2020-01-02,2020-01-02,['GB'],Document,,,
140,2007-001103-37,2013-11-25,2015-08-12,2016-06-12,['DE'],Tabular,"{'France': 131, 'Germany': 3}",2007-09-18,
141,2007-001058-16,2007-07-25,2016-07-08,2016-07-08,['FR'],Document,,,
142,2008-001035-35,2011-02-04,2016-04-20,2016-04-20,['DE'],Document,,,
143,2008-001855-23,2011-03-21,2016-07-09,2016-07-09,"['AT', 'FR', 'DE', 'ES', 'HU', 'CZ', 'PT', 'GB', 'IT', 'BE', 'FI', 'GR']",Document,,,
144,2008-001856-36,2011-03-11,2016-07-20,2016-07-20,"['IT', 'FR', 'GB', 'FI', 'ES', 'DK', 'SE', 'DE', 'GR']",Document,,,
145,2008-001835-36,2010-06-23,2019-01-20,2019-01-20,['HU'],Document,,,
146,2008-000511-16,2010-06-24,2016-07-14,2016-07-14,['GB'],Document,,,
147,2008-000516-32,2011-07-21,2016-04-06,2016-04-06,"['NL', 'PT', 'AT', 'ES', 'GB', 'GR']",Document,,,
148,2007-003189-16,2008-05-09,2016-04-03,2016-04-03,"['IE', 'DE', 'HU', 'BE', 'FR', 'LT', 'GB', 'IT', 'LV']",Document,,,
149,2007-003192-39,2008-04-12,2016-04-03,2016-04-03,['BE'],Document,,,
150,2007-005434-37,2014-09-12,2016-05-18,2016-05-18,"['FR', 'IE', 'HU', 'GB', 'BE', 'DE', 'NL', 'IT', 'AT', 'GR']",Tabular,"{'Argentina': 290, 'Australia': 38, 'Belgium': 29, 'Brazil': 163, 'Canada': 60, 'Chile': 79, 'France': 29, 'Germany': 24, 'Greece': 6, 'Hungary': 27, 'India': 75, 'Ireland': 3, 'Italy': 20, 'Korea, Republic of': 76, 'Mexico': 433, 'Netherlands': 6, 'Peru': 201, 'Poland': 200, 'Russian Federation': 68, 'South Africa': 122, 'Taiwan': 51, 'Turkey': 9, 'United Kingdom': 16, 'United States': 468}",2008-01-17,
151,2007-007315-93,2008-07-11,2016-07-08,2016-07-08,['FR'],Document,,,
152,2007-007316-29,2010-05-03,2018-10-26,2018-10-26,['FR'],Document,,,
153,2006-005355-16,2011-07-12,2015-06-27,2016-07-08,"['GB', 'FR', 'DE', 'ES', 'HU', 'NL', 'PT', 'SE', 'PL']",Document,,,
154,2006-005370-49,2010-05-10,2016-09-16,2016-09-16,"['EE', 'LT', 'LV']",Document,,,
155,2006-005377-22,2008-08-18,2018-11-01,2018-11-01,"['DE', 'LT', 'LV', 'CZ', 'ES', 'PL', 'SK']",Document,,,
156,2006-004592-35,2015-04-30,2017-09-16,2017-09-16,['GB'],Mixed,{'United Kingdom': 68},2011-01-14,
157,2007-006648-23,2010-07-12,2016-04-21,2016-04-21,"['DE', 'BE', 'NL', 'GB', 'IE', 'IT']",Document,,,
158,2007-006651-39,2012-11-27,2018-12-22,2018-12-22,['GB'],Document,,,
159,2006-004998-95,2008-03-11,2015-06-26,2016-02-25,"['HU', 'SK', 'LV', 'SI']",Document,,,
160,2005-004259-37,2007-12-20,2016-10-12,2016-10-12,['DE'],Document,,,
161,2006-006878-22,2009-04-20,2015-06-18,2016-08-05,"['FR', 'DE']",Tabular,"{'France': 11, 'Germany': 19}",2008-02-19,
162,2007-002138-13,2009-01-16,2018-10-24,2018-10-24,['GB'],Document,,,
163,2007-002150-39,2008-09-26,2017-01-03,2017-01-03,"['HU', 'ES']",Document,,,
164,2007-002155-17,2012-11-27,2016-09-18,2016-09-18,"['GB', 'IT']",Document,,,
165,2007-002160-10,2007-07-26,2016-07-10,2016-07-10,['FR'],Document,,,
166,2006-003560-62,2009-06-25,2016-05-05,2016-05-05,"['HU', 'EE', 'LT', 'DE', 'AT', 'FR', 'CZ', 'ES', 'BG']",Document,,,
167,2007-005425-30,2009-09-21,2016-06-08,2016-06-08,['FR'],Document,,,
168,2007-000760-24,2008-06-02,2016-06-04,2016-06-04,"['CZ', 'SK']",Document,,,
169,2009-015012-18,2010-08-26,2017-01-25,2017-01-25,['DE'],Document,,,
170,2007-004008-10,2010-08-07,2016-09-14,2016-09-14,['HU'],Document,,,
171,2007-004012-31,2012-08-15,2019-10-04,2019-10-04,['GB'],Document,,,
172,2007-001360-76,2008-07-07,2016-04-03,2016-04-03,"['HU', 'DK', 'ES', 'NL', 'FI', 'FR', 'SE', 'LT', 'IT', 'SK', 'LV', 'DE']",Document,,,
173,2005-004642-14,2007-04-26,2016-06-18,2016-06-18,['ES'],Document,,,
174,2005-004654-28,2008-12-03,2017-01-05,2017-01-05,['ES'],Document,,,
175,2006-006462-42,2008-09-16,2015-07-02,2016-05-19,['GB'],Tabular,{'United Kingdom': 49},2008-03-26,
176,2006-001365-42,,2015-08-06,2016-06-02,"['AT', 'IT', 'CZ', 'ES', 'GB']",Tabular,"{'Argentina': 1, 'Russian Federation': 90, 'Australia': 26, 'Bosnia and Herzegovina': 10, 'Brazil': 43, 'Canada': 21, 'Mexico': 10, 'Romania': 18, 'Turkey': 7, 'Uruguay': 3, 'Spain': 14, 'United Kingdom': 45, 'Austria': 16, 'Czech Republic': 3, 'France': 79, 'Italy': 38}",2006-09-28,
177,2007-000042-12,2007-11-09,2016-09-09,2016-09-09,"['GB', 'SE', 'DE']",Document,,,
178,2005-006083-57,2014-04-07,2016-06-01,2016-06-01,"['BE', 'GB', 'CZ', 'DE', 'AT', 'HU', 'FI', 'SE', 'IT', 'DK', 'ES']",Tabular,"{'Poland': 7, 'Israel': 7, 'Peru': 2, 'Russian Federation': 5, 'South Africa': 6, 'Ukraine': 3, 'United States': 119, 'Norway': 3, 'Spain': 3, 'Sweden': 2, 'Austria': 8, 'Belgium': 9, 'Czech Republic': 3, 'Denmark': 5, 'France': 23, 'Germany': 7, 'Italy': 21, 'Australia': 3, 'Brazil': 5, 'Canada': 7}",2006-05-09,
179,2005-006111-47,2006-07-10,2017-06-21,2017-06-21,['IE'],Document,,,
180,2004-000492-33,2005-02-03,2016-06-24,2016-06-24,"['LV', 'HU', 'LT']",Document,,,
181,2006-003786-13,2012-03-12,2016-12-10,2016-12-10,"['IE', 'GB', 'DE', 'HU', 'BE', 'FR', 'SE', 'PT', 'IT', 'BG']",Document,,,
182,2006-003807-38,2008-07-25,2014-11-22,2016-04-27,"['DE', 'FR', 'ES']",Tabular,"{'Spain': 262, 'France': 183, 'Germany': 306}",2007-02-13,
183,2007-000538-37,2008-07-07,2016-10-12,2016-10-12,['DE'],Document,,,
184,2007-000576-16,2009-03-30,2015-07-04,2016-05-29,['Outside EU/EEA'],Tabular,"{'Ukraine': 34, 'United States': 30, 'India': 45, 'Romania': 10, 'Russian Federation': 82}",2007-08-08,
185,2007-004609-85,2011-12-22,2016-12-08,2016-12-08,"['DE', 'AT', 'PT']",Document,,,
186,2004-005123-18,2005-11-21,2017-01-04,2017-01-04,"['FI', 'DE']",Document,,,
187,2004-005124-40,2007-07-27,2019-03-14,2019-03-14,['GB'],Document,,,
188,2007-006345-40,2008-09-25,2015-05-13,2018-09-04,['DK'],Tabular,{'Denmark': 13},2007-01-22,
189,2007-006393-29,2008-09-02,2016-07-08,2016-07-08,['FR'],Document,,,
190,2007-001676-36,2008-07-01,2016-09-02,2016-09-02,['FI'],Document,,,
191,2007-001691-36,2008-05-28,2016-06-26,2016-06-26,"['DE', 'AT', 'HU']",Document,,,
192,2007-005821-31,2008-02-21,2016-11-04,2016-11-04,['GB'],Document,,,
193,2007-005828-32,2014-12-15,2019-11-08,2019-11-08,"['AT', 'CZ', 'HU', 'LV', 'SK', 'BG']",Tabular,"{'Slovakia': 15, 'Austria': 75, 'Bosnia and Herzegovina': 26, 'Bulgaria': 13, 'Croatia': 12, 'Czech Republic': 37, 'Hungary': 162, 'Israel': 105, 'Latvia': 27, 'Poland': 36, 'Romania': 42, 'Serbia': 14}",2008-09-10,
194,2007-005958-23,2008-08-14,2017-12-13,2017-12-13,['DE'],Document,,,
195,2007-005959-42,2011-10-05,2016-12-30,2016-12-30,"['FR', 'DE', 'ES', 'CZ', 'AT', 'HU', 'IT', 'PL', 'GR']",Document,,,
196,2007-005983-28,2013-10-04,2015-07-16,2016-06-20,"['ES', 'GB', 'BE', 'NL', 'DE', 'FR', 'IT']",Tabular,"{'Netherlands': 15, 'Spain': 19, 'United Kingdom': 20, 'Belgium': 18, 'France': 35, 'Germany': 31, 'Italy': 36, 'Hong Kong': 6, 'China': 124, 'Taiwan': 156, 'Korea, Republic of': 106, 'Singapore': 15, 'Canada': 56, 'Thailand': 26, 'United States': 35}",2008-05-19,
197,2007-006934-33,2009-07-08,2016-04-30,2016-04-30,['BE'],Document,,,
198,2007-007000-15,2012-06-13,2016-07-29,2016-07-29,"['GB', 'IT', 'GR']",Tabular,"{'Taiwan': 1, 'Thailand': 55, 'Turkey': 16, 'United Kingdom': 8, 'United States': 4, 'Greece': 12, 'Italy': 31, 'Lebanon': 29, 'Malaysia': 10}",2008-11-24,
199,2005-003449-15,2009-03-25,2016-06-01,2016-06-01,['GB'],Document,,,
200,2008-007225-39,2015-06-30,2018-12-27,2018-12-27,['BE'],Tabular,{'Belgium': 379},2009-02-02,
201,2008-007244-33,2010-06-02,2014-11-13,2016-02-12,['GB'],Document,,,
202,2008-007290-20,2014-08-01,2016-05-22,2016-05-22,"['DE', 'AT', 'DK', 'FR', 'NL', 'CZ', 'ES', 'PL', 'IT', 'SI']",Tabular,"{'Slovenia': 13, 'Austria': 9, 'Czech Republic': 1, 'Denmark': 150, 'France': 795, 'Germany': 279, 'Italy': 72, 'Netherlands': 768, 'Poland': 111}",2010-03-01,
203,2008-002332-15,2009-05-07,2016-11-25,2016-11-25,['SE'],Document,,,
204,2007-001458-22,2012-05-22,2016-08-26,2016-08-26,"['ES', 'GR', 'DE', 'BE', 'FR', 'CZ', 'IT', 'LT', 'SI', 'BG']",Document,,,
205,2007-000721-21,2011-11-30,2016-12-28,2016-12-28,"['FR', 'GR', 'ES', 'IT']",Document,,,
206,2007-000145-35,2009-10-27,2016-07-31,2016-07-31,"['DE', 'ES', 'FR', 'DK', 'AT', 'GB', 'IT']",Document,,,
207,2007-002053-24,2013-05-15,2019-06-22,2019-06-22,['GB'],Document,,,
208,2007-002082-13,2011-08-22,2018-11-01,2018-11-01,['DE'],Document,,,
209,2007-002084-27,2013-11-12,2020-01-02,2020-01-02,['GB'],Mixed,{'United Kingdom': 99999},2013-11-12,
210,2007-002087-10,2009-01-07,2015-03-21,2016-05-16,['DE'],Document,,,
211,2006-004528-35,2007-06-18,2018-04-06,2018-04-06,"['DE', 'FR', 'ES']",Document,,,
212,2006-004532-73,2009-05-09,2016-04-17,2016-04-17,['DE'],Document,,,
