entered_year,eudract_number
2004,1068
2005,4638
2006,5811
2007,7049
2008,7082
2009,7034
2010,6753
2011,5707
2012,6721
2013,6307
2014,6013
2015,6554
2016,5789
2017,5708
2018,6151
2019,5604
2020,6037
2021,7585
2022,1379
